1500;May;27;A;71.5N;152.4E;320;04m13s
1500;Nov;21;T;76.4S;91.4W;159;00m52s
1501;Apr;17;P;61.9S;1.1W;;
1501;May;17;Pb;63.7N;13.6W;;
1501;Oct;12;P;61.4N;133.9E;;
1502;Apr;7;T;12.6S;104.7E;205;04m49s
1502;Oct;1;A;19.3N;62.8E;306;08m16s
1503;Mar;27;T;21.1N;164.1W;218;05m04s
1503;Sep;20;A;14.1S;38.5E;190;05m27s
1504;Mar;16;P;61.0N;114.0W;;
1504;Sep;8;A;55.3S;102.6W;83;00m32s
1505;Feb;4;P;61.7S;156.9W;;
1505;Jul;30;T;67.9N;55.6W;593;03m25s
1506;Jan;24;A;38.3S;106.1E;325;08m26s
1506;Jul;20;T;30.4N;19.8W;209;05m08s
1507;Jan;13;A;3.0S;68.3E;181;05m42s
1507;Jul;10;H;12.4S;126.0E;40;01m01s
1508;Jan;2;A;52.8N;77.0W;92;00m28s
1508;May;29;P;67.1N;72.8E;;
1508;Jun;28;P;64.5S;10.4E;;
1508;Nov;22;P;67.8S;74.6E;;
1509;May;18;A;64.9N;124.3W;233;03m56s
1509;Nov;12;H;45.8S;23.2E;50;01m06s
1510;May;8;H;13.5N;161.4E;12;00m22s
1510;Nov;1;A;1.5S;108.7W;148;04m54s
1511;Apr;27;T;40.0S;14.7W;286;03m50s
1511;Oct;21;A+;70.7N;98.6W;-;-
1512;Mar;17;P;72.0N;110.2E;;
1512;Apr;16;Pb;70.6S;131.9E;;
1512;Sep;10;P;72.0S;17.4E;;
1513;Mar;7;H;17.6N;1.8W;15;00m24s
1513;Aug;30;T;19.5S;31.9W;80;02m03s
1514;Feb;24;A;28.2S;90.0W;208;05m51s
1514;Aug;20;T;26.5N;119.9E;228;05m38s
1515;Feb;13;P;71.5S;18.9E;;
1515;Jul;11;Pe;68.5S;38.2W;;
1515;Aug;9;P;70.8N;7.1W;;
1516;Jan;4;P;68.1N;117.7E;;
1516;Jun;30;A;33.8S;161.3E;64;01m03s
1516;Dec;23;T;2.2N;27.9W;75;02m05s
1517;Jun;19;A;19.5N;96.1E;164;05m50s
1517;Dec;13;T;38.2S;103.0E;161;03m52s
1518;Jun;8;A;67.0N;73.4E;259;04m13s
1518;Dec;2;T;80.4S;128.7E;125;00m41s
1519;Apr;28;P;62.5S;120.2W;;
1519;May;28;P;64.6N;126.3W;;
1519;Oct;23;P;61.9N;7.4E;;
1520;Apr;17;T;12.6S;12.2W;226;05m15s
1520;Oct;11;A;17.8N;49.4W;329;08m57s
1521;Apr;7;T;22.8N;77.3E;222;05m15s
1521;Sep;30;A;16.2S;73.3W;191;05m30s
1522;Mar;27;T;62.0N;127.7E;347;00m26s
1522;Sep;19;A;53.9S;146.1E;42;00m23s
1523;Feb;15;P;61.2S;77.4E;;
1523;Aug;11;Tn;62.7N;135.9W;-;02m44s
1524;Feb;4;A;35.4S;9.3W;315;08m05s
1524;Jul;30;T;30.8N;130.2W;198;04m40s
1525;Jan;23;A;1.2S;54.8W;163;04m58s
1525;Jul;20;H;9.3S;19.4E;21;00m35s
1526;Jan;13;A;51.0N;148.8E;19;00m07s
1526;Jun;10;Pe;66.1N;34.1W;;
1526;Jul;9;P;63.6S;97.8W;;
1526;Dec;4;P;66.7S;68.9W;;
1527;May;30;A;73.4N;144.6E;255;03m28s
1527;Nov;23;H;48.6S;102.5W;34;00m45s
1528;May;18;H;19.9N;54.6E;29;00m56s
1528;Nov;12;A;4.9S;128.4E;166;05m36s
1529;May;7;T;31.3S;133.1W;276;04m38s
1529;Nov;1;An;61.7N;122.8E;-;08m09s
1530;Mar;29;P;71.7N;24.4W;;
1530;Apr;27;P;69.9S;2.9E;;
1530;Sep;21;P;72.0S;108.9W;;
1531;Mar;18;H;24.3N;122.1W;13;00m21s
1531;Sep;10;T;26.4S;151.0W;81;01m56s
1532;Mar;7;A;21.8S;154.3E;201;05m59s
1532;Aug;30;T;19.3N;0.0E;221;05m40s
1533;Feb;24;P;71.9S;108.5W;;
1533;Aug;20;T;73.7N;178.3E;678;02m40s
1534;Jan;14;P;69.1N;19.7W;;
1534;Jul;11;A;44.9S;52.5E;144;01m35s
1535;Jan;3;T;3.8N;160.1W;86;02m22s
1535;Jun;30;A;13.5N;0.6W;173;06m19s
1535;Dec;24;T;37.5S;27.4W;161;03m55s
1536;Jun;18;A;61.0N;13.4W;220;04m17s
1536;Dec;13;T;84.5S;17.2W;97;00m33s
1537;May;9;P;63.2S;121.2E;;
1537;Jun;7;P;65.5N;120.2E;;
1537;Nov;2;P;62.6N;120.7W;;
1538;Apr;28;T;13.7S;127.7W;249;05m38s
1538;Oct;22;A;16.6N;164.1W;351;09m41s
1539;Apr;18;T;23.7N;38.7W;225;05m28s
1539;Oct;12;A;18.7S;172.2E;192;05m35s
1540;Apr;7;T;63.1N;34.7E;123;00m42s
1540;Sep;30;A;54.6S;29.2E;27;00m17s
1541;Feb;25;P;61.0S;45.8W;;
1541;Aug;21;P;61.3N;102.0E;;
1541;Sep;19;Pb;61.1S;135.3E;;
1542;Feb;14;A;32.5S;123.8W;305;07m44s
1542;Aug;11;T;30.6N;118.6E;184;04m12s
1543;Feb;3;A;1.0N;177.0W;143;04m14s
1543;Jul;31;H;7.3S;87.0W;3;00m05s
1544;Jan;24;H;49.7N;16.0E;40;00m16s
1544;Jul;19;P;62.8S;153.9E;;
1544;Dec;14;P;65.6S;147.6E;;
1545;Jun;9;A;81.2N;72.0E;303;03m06s
1545;Dec;4;H;50.1S;132.1E;20;00m25s
1546;May;29;H;25.7N;51.0W;46;01m24s
1546;Nov;23;A;7.3S;4.9E;181;06m13s
1547;May;19;T;23.5S;110.7E;270;05m22s
1547;Nov;12;A;55.5N;4.7W;1419;08m59s
1548;Apr;8;P;71.2N;156.5W;;
1548;May;7;P;69.0S;124.2W;;
1548;Oct;1;P;71.7S;122.3E;;
1549;Mar;29;H;31.4N;120.1E;11;00m16s
1549;Sep;21;T;33.2S;88.0E;82;01m49s
1550;Mar;18;A;15.1S;40.8E;194;06m05s
1550;Sep;10;T;12.4N;121.8W;212;05m38s
1551;Mar;7;P;72.2S;126.5E;;
1551;Aug;31;T;65.7N;28.4E;391;02m52s
1552;Jan;25;P;70.0N;156.6W;;
1552;Jul;21;As;62.9S;64.6W;-;02m05s
1553;Jan;14;T;6.3N;68.3E;99;02m41s
1553;Jul;10;A;6.8N;98.5W;185;06m46s
1554;Jan;3;T;35.8S;158.1W;163;04m00s
1554;Jun;29;A;54.0N;104.8W;195;04m22s
1554;Dec;24;T;87.5S;159.2E;75;00m25s
1555;May;20;P;64.0S;3.3E;;
1555;Jun;19;P;66.5N;6.6E;;
1555;Nov;14;P;63.3N;109.4E;;
1556;May;9;T;16.0S;117.8E;274;05m58s
1556;Nov;2;A;15.5N;78.9E;370;10m24s
1557;Apr;28;T;24.0N;153.1W;227;05m42s
1557;Oct;22;A;21.1S;56.0E;192;05m40s
1558;Apr;18;T;64.1N;67.8W;100;00m50s
1558;Oct;11;A;56.5S;90.3W;18;00m12s
1559;Mar;9;P;60.8S;166.6W;;
1559;Sep;1;P;61.1N;25.3W;;
1559;Oct;1;P;61.3S;3.4E;;
1560;Feb;26;A;29.9S;123.5E;294;07m22s
1560;Aug;21;T;29.7N;5.3E;170;03m45s
1561;Feb;14;A;3.4N;62.6E;122;03m30s
1561;Aug;11;A;6.5S;165.5E;16;00m27s
1562;Feb;3;T;48.6N;114.5W;89;00m41s
1562;Jul;31;P;62.2S;45.1E;;
1562;Dec;25;P;64.6S;4.6E;;
1563;Jun;20;A;81.3N;55.3E;454;02m49s
1563;Dec;15;H;50.3S;6.8E;8;00m10s
1564;Jun;8;H2;30.8N;155.4W;60;01m44s
1564;Dec;3;A;8.8S;119.2W;195;06m42s
1565;May;29;T;16.5S;3.7W;266;05m57s
1565;Nov;22;A;51.4N;130.5W;1220;09m37s
1566;Apr;19;P;70.5N;73.9E;;
1566;May;19;P;68.1S;110.7E;;
1566;Oct;13;P;71.1S;8.6W;;
1567;Apr;9;H;38.9N;4.9E;8;00m11s
1567;Oct;2;T;39.7S;34.9W;82;01m42s
1568;Mar;28;A;8.1S;70.5W;187;06m10s
1568;Sep;21;T;5.8N;114.6E;204;05m32s
1569;Mar;17;A-;72.1S;3.1E;-;-
1569;Sep;10;T;57.4N;103.4W;293;02m55s
1570;Feb;5;P;70.9N;66.6E;;
1570;Aug;1;P;70.4S;171.9E;;
1571;Jan;25;T;9.5N;62.8W;113;02m59s
1571;Jul;22;A;0.5S;162.1E;201;07m08s
1572;Jan;15;T;33.0S;71.6E;166;04m07s
1572;Jul;10;A;46.6N;159.7E;177;04m30s
1573;Jan;3;H;85.9S;54.1W;57;00m20s
1573;May;30;P;64.9S;114.6W;;
1573;Jun;29;P;67.5N;108.2W;;
1573;Nov;24;P;64.3N;21.4W;;
1574;May;20;T;19.7S;3.7E;305;06m09s
1574;Nov;13;A;14.8N;40.0W;387;11m03s
1575;May;10;Tm;23.1N;94.6E;227;05m56s
1575;Nov;2;A;23.5S;62.6W;191;05m44s
1576;Apr;28;T;64.8N;168.0W;86;00m55s
1576;Oct;21;A;59.2S;147.9E;11;00m08s
1577;Mar;19;P;60.9S;75.2E;;
1577;Sep;12;P;61.0N;154.4W;;
1577;Oct;11;P;61.6S;130.8W;;
1578;Mar;8;A;27.7S;12.3E;284;07m01s
1578;Sep;1;T;28.4N;109.6W;152;03m17s
1579;Feb;25;A;6.0N;56.4W;100;02m48s
1579;Aug;22;A;6.6S;57.2E;36;01m00s
1580;Feb;15;T;47.9N;117.3E;127;01m07s
1580;Aug;10;P;61.6S;64.7W;;
1581;Jan;5;P;63.7S;137.9W;;
1581;Jun;30;P;64.2N;2.2W;;
1581;Dec;25;A;49.4S;118.5W;3;00m04s
1582;Jun;20;T;35.0N;100.8E;73;01m59s
1582;Dec;25;A;9.4S;116.8E;206;07m02s
1583;Jun;19;T;10.4S;116.9W;262;06m23s
1583;Dec;14;A;48.5N;104.1E;1116;10m03s
1584;May;10;P;69.7N;53.5W;;
1584;Jun;8;P;67.1S;13.3W;;
1584;Nov;2;P;70.4S;141.1W;;
1585;Apr;29;H;46.6N;107.7W;2;00m03s
1585;Oct;22;T;45.7S;159.2W;82;01m35s
1586;Apr;19;A;0.9S;179.1W;181;06m12s
1586;Oct;12;T;0.3S;10.8W;196;05m23s
1587;Apr;8;A;60.5S;151.9W;889;06m26s
1587;Oct;2;T;50.0N;128.3E;235;02m51s
1588;Feb;26;P;71.5N;68.8W;;
1588;Aug;22;P;71.1S;53.5E;;
1589;Feb;15;T;13.6N;167.1E;129;03m17s
1589;Aug;11;A;8.2S;61.4E;221;07m25s
1590;Feb;4;T;29.3S;58.8W;170;04m17s
1590;Jul;31;A;38.8N;61.6E;166;04m38s
1591;Jan;25;H;81.9S;150.6E;45;00m16s
1591;Jun;21;Pe;65.8S;127.7E;;
1591;Jul;20;P;68.5N;136.0E;;
1591;Dec;15;P;65.3N;153.5W;;
1592;Jun;9;T;24.7S;110.3W;344;06m11s
1592;Dec;3;A;14.5N;160.2W;401;11m36s
1593;May;30;T;21.4N;17.0W;227;06m08s
1593;Nov;22;A;25.4S;177.5E;189;05m47s
1594;May;20;T;64.9N;94.1E;76;00m58s
1594;Nov;12;A;62.4S;25.1E;5;00m04s
1595;Apr;9;P;61.1S;40.7W;;
1595;Oct;3;P;61.1N;74.6E;;
1595;Nov;1;P;62.1S;93.1E;;
1596;Mar;28;A;26.3S;96.5W;275;06m42s
1596;Sep;22;T;26.8N;133.0E;134;02m50s
1597;Mar;17;A;8.4N;173.3W;77;02m08s
1597;Sep;11;A;7.6S;52.4W;57;01m35s
1598;Mar;7;T;47.7N;8.2W;156;01m33s
1598;Aug;31;A-;61.2S;175.6W;-;-
1599;Jan;26;P;62.9S;80.9E;;
1599;Jul;22;P;63.4N;111.2W;;
1600;Jan;16;A;47.4S;115.9E;11;00m14s
1600;Jul;10;T;38.2N;2.7W;84;02m08s
1601;Jan;4;A;9.1S;7.0W;214;07m13s
1601;Jun;30;T;5.3S;130.7E;259;06m37s
1601;Dec;24;A;46.6N;21.5W;1051;10m14s
1602;May;21;P;68.8N;178.3W;;
1602;Jun;19;P;66.1S;135.7W;;
1602;Nov;13;P;69.5S;84.8E;;
1603;May;11;A;54.7N;142.6E;6;00m07s
1603;Nov;3;T;51.1S;75.6E;83;01m31s
1604;Apr;29;A;6.3N;74.8E;176;06m12s
1604;Oct;22;T;5.9S;137.8W;188;05m12s
1605;Apr;18;A;49.8S;89.9E;553;06m43s
1605;Oct;12;T;43.4N;0.6E;193;02m43s
1606;Mar;8;P;71.9N;156.4E;;
1606;Sep;2;P;71.7S;66.5W;;
1607;Feb;26;T;18.4N;38.2E;147;03m34s
1607;Aug;22;A;16.1S;41.4W;245;07m34s
1608;Feb;16;T;24.8S;171.7E;175;04m29s
1608;Aug;10;A;31.0N;39.6W;158;04m46s
1609;Feb;4;H;77.3S;7.2E;37;00m15s
1609;Jul;30;P;69.5N;17.9E;;
1609;Dec;26;P;66.3N;73.9E;;
1610;Jun;21;T;31.5S;135.5E;400;05m59s
1610;Dec;15;A;14.7N;78.2E;409;11m56s
1611;Jun;10;T;18.4N;127.6W;224;06m16s
1611;Dec;4;A;26.9S;56.0E;185;05m44s
1612;May;30;T;63.6N;1.9W;65;00m58s
1612;Nov;22;H;65.7S;98.4W;1;00m01s
1613;Apr;20;P;61.5S;154.4W;;
1613;May;19;Pb;63.3N;137.6E;;
1613;Oct;13;P;61.3N;58.2W;;
1613;Nov;12;P;62.7S;44.9W;;
1614;Apr;9;A;25.7S;156.2E;268;06m22s
1614;Oct;3;T;25.2N;13.5E;113;02m22s
1615;Mar;29;A;10.7N;71.7E;53;01m28s
1615;Sep;22;A;9.1S;163.5W;78;02m11s
1616;Mar;17;T;48.0N;131.4W;180;01m58s
1616;Sep;11;A;54.1S;102.3E;807;05m42s
1617;Feb;6;P;62.2S;59.0W;;
1617;Mar;7;Pb;61.2N;48.6W;;
1617;Aug;1;P;62.7N;138.3E;;
1618;Jan;26;A;44.7S;9.7W;18;00m23s
1618;Jul;21;T;40.4N;106.3W;94;02m13s
1619;Jan;15;A;8.1S;130.4W;220;07m16s
1619;Jul;11;T;1.3S;18.6E;255;06m41s
1620;Jan;4;A;45.0N;146.5W;976;10m13s
1620;May;31;P;67.8N;58.5E;;
1620;Jun;30;P;65.1S;102.3E;;
1620;Nov;24;P;68.5S;50.6W;;
1621;May;21;A;63.1N;36.1E;18;00m18s
1621;Nov;13;T;55.8S;49.7W;84;01m28s
1622;May;10;Am;13.5N;28.8W;172;06m07s
1622;Nov;3;T;10.7S;93.7E;180;05m01s
1623;Apr;29;A;39.8S;20.4W;405;06m54s
1623;Oct;23;T;37.8N;128.0W;159;02m31s
1624;Mar;19;P;72.0N;23.5E;;
1624;Apr;17;Pb;71.2S;23.1W;;
1624;Sep;12;P;72.0S;171.5E;;
1624;Oct;12;Pb;71.5N;109.9E;;
1625;Mar;8;T;23.9N;89.4W;166;03m50s
1625;Sep;1;A;24.2S;146.4W;274;07m37s
1626;Feb;26;T;19.7S;42.7E;180;04m42s
1626;Aug;21;A;23.1N;142.9W;154;04m54s
1627;Feb;16;H;72.3S;130.9W;34;00m15s
1627;Aug;11;H;77.7N;173.3W;1;00m00s
1628;Jan;6;P;67.4N;59.2W;;
1628;Jul;1;T;40.3S;20.0E;501;05m32s
1628;Dec;25;A;15.4N;44.0W;413;12m02s
1629;Jun;21;T;14.5N;121.6E;221;06m20s
1629;Dec;14;A;27.6S;66.2W;179;05m38s
1630;Jun;10;H;60.9N;98.3W;54;00m55s
1630;Dec;4;H;68.7S;139.6E;9;00m07s
1631;May;1;P;62.0S;94.2E;;
1631;May;31;P;64.1N;27.6E;;
1631;Oct;25;P;61.7N;167.0E;;
1631;Nov;23;P;63.5S;175.4E;;
1632;Apr;19;A;26.4S;50.8E;267;06m03s
1632;Oct;13;T;23.7N;108.2W;91;01m55s
1633;Apr;8;A;12.4N;41.2W;31;00m51s
1633;Oct;3;Am;11.2S;83.4E;99;02m48s
1634;Mar;29;T;48.7N;108.6E;198;02m24s
1634;Sep;22;A;51.5S;2.3E;572;06m03s
1635;Feb;17;P;61.6S;162.7E;;
1635;Mar;18;P;61.1N;177.7E;;
1635;Aug;12;P;62.1N;26.6E;;
1636;Feb;6;A;41.6S;134.7W;23;00m29s
1636;Aug;1;T;41.5N;148.9E;103;02m15s
1637;Jan;26;A;6.4S;107.0E;223;07m12s
1637;Jul;21;T;1.8N;93.4W;251;06m37s
1638;Jan;15;A;44.0N;88.9E;907;10m00s
1638;Jun;12;Pe;66.8N;62.9W;;
1638;Jul;11;P;64.2S;19.0W;;
1638;Dec;5;P;67.5S;173.0E;;
1639;Jan;4;Pb;64.6N;80.0E;;
1639;Jun;1;A;71.7N;65.3W;38;00m31s
1639;Nov;24;T;59.6S;174.7W;87;01m27s
1640;May;20;A;20.4N;130.2W;171;06m00s
1640;Nov;13;T;14.8S;35.8W;173;04m50s
1641;May;9;A;30.8S;127.3W;321;06m56s
1641;Nov;3;T;33.0N;102.5E;130;02m15s
1642;Mar;30;P;71.9N;108.0W;;
1642;Apr;29;P;70.6S;144.7W;;
1642;Sep;24;P;72.1S;47.6E;;
1642;Oct;23;P;71.0N;22.5W;;
1643;Mar;20;T;30.0N;144.6E;186;04m02s
1643;Sep;13;A;32.3S;106.3E;307;07m35s
1644;Mar;8;T;14.0S;84.7W;186;04m57s
1644;Sep;1;A;15.4N;110.9E;152;05m00s
1645;Feb;26;H;66.7S;94.3E;34;00m17s
1645;Aug;21;H;68.2N;43.7E;28;00m16s
1646;Jan;16;P;68.5N;167.8E;;
1646;Jul;12;T;53.2S;98.0W;834;04m44s
1647;Jan;5;A;16.9N;166.5W;413;11m50s
1647;Jul;2;T;9.6N;11.0E;217;06m15s
1647;Dec;26;A;27.4S;170.6E;170;05m25s
1648;Jun;21;H;56.7N;164.0E;42;00m49s
1648;Dec;14;H;70.9S;19.6E;18;00m14s
1649;May;11;P;62.7S;15.7W;;
1649;Jun;10;P;65.0N;81.5W;;
1649;Nov;4;P;62.2N;30.2E;;
1649;Dec;3;P;64.4S;34.1E;;
1650;Apr;30;A;28.5S;52.9W;274;05m43s
1650;Oct;25;T;22.3N;127.9E;68;01m26s
1651;Apr;19;A;13.7N;152.4W;8;00m14s
1651;Oct;14;A;13.5S;31.3W;120;03m27s
1652;Apr;8;T;49.6N;8.9W;213;02m49s
1652;Oct;2;A;51.2S;102.7W;497;06m19s
1653;Feb;27;P;61.3S;26.0E;;
1653;Mar;29;P;61.2N;45.6E;;
1653;Aug;23;P;61.6N;86.7W;;
1653;Sep;21;Pb;61.0S;149.7W;;
1654;Feb;17;A;38.3S;100.9E;27;00m34s
1654;Aug;12;T;41.7N;42.5E;110;02m16s
1655;Feb;6;A;4.3S;14.0W;224;07m03s
1655;Aug;2;T;3.7N;154.0E;247;06m28s
1656;Jan;26;A;43.2N;34.1W;820;09m38s
1656;Jul;21;T-;63.4S;140.7W;-;-
1656;Dec;15;P;66.4S;36.3E;;
1657;Jan;14;P;63.7N;52.7W;;
1657;Jun;11;A;80.5N;153.7W;73;00m45s
1657;Dec;5;T;62.1S;61.3E;91;01m29s
1658;Jun;1;A;27.0N;131.3E;172;05m49s
1658;Nov;24;T;18.0S;166.4W;167;04m40s
1659;May;21;A;22.2S;129.2E;264;06m51s
1659;Nov;14;T;29.2N;28.2W;106;01m56s
1660;Apr;9;P;71.5N;122.9E;;
1660;May;9;P;69.7S;95.9E;;
1660;Oct;4;P;72.0S;78.2W;;
1660;Nov;3;P;70.3N;156.2W;;
1661;Mar;30;T;36.7N;20.2E;209;04m12s
1661;Sep;23;A;40.3S;3.0W;347;07m29s
1662;Mar;20;T;7.9S;149.1E;191;05m12s
1662;Sep;12;A;7.9N;2.6E;153;05m05s
1663;Mar;9;H;60.5S;37.1W;35;00m21s
1663;Sep;1;H;58.6N;78.9W;38;00m29s
1664;Jan;28;P;69.6N;35.0E;;
1664;Jul;23;P;68.8S;134.7E;;
1664;Aug;21;Pb;71.0N;173.8E;;
1665;Jan;16;A;19.1N;71.2E;409;11m24s
1665;Jul;12;T;3.9N;100.6W;211;06m02s
1666;Jan;5;A;26.3S;47.1E;160;05m07s
1666;Jul;2;H;51.4N;64.4E;29;00m39s
1666;Dec;25;H;71.6S;98.3W;30;00m24s
1667;May;22;Pe;63.5S;124.0W;;
1667;Jun;21;P;65.9N;170.1E;;
1667;Nov;15;P;62.9N;108.2W;;
1667;Dec;15;P;65.3S;108.2W;;
1668;May;10;A;32.3S;155.4W;296;05m21s
1668;Nov;4;H;21.1N;1.8E;45;00m57s
1669;Apr;30;H;14.1N;98.2E;13;00m22s
1669;Oct;24;A;15.9S;147.7W;141;04m07s
1670;Apr;19;T;50.6N;123.3W;225;03m15s
1670;Oct;13;A;52.4S;149.1E;467;06m34s
1671;Mar;11;P;61.0S;108.3W;;
1671;Apr;9;P;61.4N;84.1W;;
1671;Sep;3;P;61.3N;157.8E;;
1671;Oct;2;P;61.0S;92.1E;;
1672;Feb;28;A;35.2S;22.0W;30;00m38s
1672;Aug;22;T;41.2N;66.2W;117;02m15s
1673;Feb;16;A;1.8S;133.5W;223;06m52s
1673;Aug;12;T;4.6N;40.6E;242;06m15s
1674;Feb;5;A;42.8N;155.7W;736;09m09s
1674;Aug;2;T;45.9S;120.8E;498;04m08s
1674;Dec;27;P;65.4S;100.9W;;
1675;Jan;25;P;62.9N;175.1E;;
1675;Jun;23;A;84.1N;166.1W;154;01m01s
1675;Dec;16;T;63.1S;62.0W;97;01m33s
1676;Jun;11;A;33.0N;34.6E;176;05m38s
1676;Dec;5;T;20.2S;62.5E;162;04m30s
1677;May;31;A;14.4S;27.5E;223;06m36s
1677;Nov;24;T;26.3N;159.6W;84;01m36s
1678;Apr;21;P;71.0N;4.5W;;
1678;May;20;P;68.8S;22.1W;;
1678;Oct;15;P;71.6S;154.5E;;
1678;Nov;14;P;69.4N;69.4E;;
1679;Apr;10;T;43.8N;102.2W;233;04m17s
1679;Oct;4;A;48.0S;114.9W;391;07m21s
1680;Mar;30;T;1.5S;24.9E;197;05m25s
1680;Sep;22;A;0.7N;108.2W;153;05m08s
1681;Mar;20;H;53.8S;165.3W;37;00m26s
1681;Sep;12;H;49.8N;161.1E;43;00m40s
1682;Feb;7;P;70.5N;96.8W;;
1682;Aug;3;P;69.7S;9.5E;;
1682;Sep;1;P;71.5N;44.3E;;
1683;Jan;27;A;22.1N;50.6W;401;10m44s
1683;Jul;24;T;2.5S;147.1E;203;05m38s
1684;Jan;16;A;24.2S;76.7W;147;04m43s
1684;Jul;12;H;45.2N;37.1W;16;00m23s
1685;Jan;5;H;70.7S;143.1E;44;00m35s
1685;Jul;1;P;66.9N;62.2E;;
1685;Nov;26;P;63.7N;111.8E;;
1685;Dec;25;P;66.4S;108.3E;;
1686;May;22;A;38.6S;103.3E;353;04m56s
1686;Nov;15;H;20.2N;126.0W;22;00m28s
1687;May;11;H;13.6N;9.9W;33;00m57s
1687;Nov;5;A;18.3S;94.3E;160;04m49s
1688;Apr;30;T;51.4N;124.4E;234;03m40s
1688;Oct;24;A;54.4S;39.2E;453;06m49s
1689;Mar;21;P;61.0S;119.0E;;
1689;Apr;19;P;61.7N;147.5E;;
1689;Sep;13;P;61.1N;40.2E;;
1689;Oct;13;P;61.2S;28.3W;;
1690;Mar;10;A;32.5S;143.0W;33;00m42s
1690;Sep;3;T;40.3N;177.4W;122;02m13s
1691;Feb;28;A;0.8N;109.3E;220;06m40s
1691;Aug;23;T;4.5N;74.3W;236;06m01s
1692;Feb;17;A;42.4N;85.6E;644;08m36s
1692;Aug;12;T;39.8S;8.6E;353;04m10s
1693;Jan;6;P;64.4S;122.2E;;
1693;Feb;5;P;62.2N;44.2E;;
1693;Jul;3;P;64.8N;146.3E;;
1693;Dec;27;T;62.6S;174.3E;105;01m39s
1694;Jun;22;A;38.4N;59.7W;183;05m27s
1694;Dec;16;T;21.3S;69.2W;158;04m22s
1695;Jun;11;A;7.4S;72.2W;193;06m13s
1695;Dec;6;T;24.3N;67.9E;64;01m16s
1696;May;1;P;70.2N;129.8W;;
1696;May;30;P;67.8S;138.7W;;
1696;Oct;26;P;70.9S;25.9E;;
1696;Nov;24;P;68.4N;65.6W;;
1697;Apr;21;T;51.4N;136.9E;262;04m18s
1697;Oct;15;A;55.5S;131.2E;441;07m12s
1698;Apr;10;Tm;5.1N;97.3W;201;05m36s
1698;Oct;4;A;6.2S;138.8E;155;05m10s
1699;Mar;31;H;46.8S;69.7E;38;00m32s
1699;Sep;23;H;41.8N;40.7E;46;00m49s
1700;Feb;18;P;71.2N;132.4E;;
1700;Aug;14;P;70.6S;117.5W;;
